Name,Description,Title,Website,Avatar
Sebastian,This little trouble maker lives in Seattle with James and loves traveling on adventures with James and tweeting @MotzMonkeys. He by far is an Android fanboy and is getting ready for the new Nexus 6P!,Monkey,https://xamarin.com,http://www.refractored.com/images/sebastian.jpg
Henry,An adorable Monkey who is traveling the world with Heather and live tweets his adventures @MotzMonkeys. His favorite platform is iOS by far and is excited for the new iPhone 6s!,Monkey,https://xamarin.com,http://www.refractored.com/images/henry.jpg
Baboon,"Baboons are African and Arabian Old World monkeys belonging to the genus Papio, part of the subfamily Cercopithecinae.",Monkey,https://xamarin.com,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Portrait_Of_A_Baboon.jpg/314px-Portrait_Of_A_Baboon.jpg
Matthew Soucoup,"Matthew is a Xamarin MVP and Certified Xamarin Developer from Madison, WI. He founded his company Code Mill Technologies and started the Madison Mobile .Net Developers Group.  Matt regularly speaks on .Net and Xamarin development at user groups, code camps and conferences throughout the Midwest. Matt gardens hot peppers, rides bikes, and loves Wisconsin micro-brews and cheese.",Architect,https://codemilltech.com,http://i.imgur.com/RTDt4nb.jpg
Star Simpson,"A robot-builder from an early age, Star has explored robotics and automation in electronics and software from MIT to Shenzhen. She previously worked on some of the first robots to demonstrate human emotional expressiveness in Cynthia Brezeal’s personal robotics lab. Her interest carried her into the aerial robotics world, exploring drone-based delivery through TacoCopter many years ahead of anyone else. Now residing in SF, she’s looking for ways that tech can advance and extend human capability.",Consultant,N/A,http://i.imgur.com/BlC5zlJ.jpg
Sam Tulimat ,Sam works on the Microsoft Intune team at Microsoft’s Boston office. He developed a love for technology when he started an internet Café in his home country of Syria. Later on he decided to bring his love for Entrepreneurship and tech to Microsoft by focusing on the fast evolving technology for app management and data protection in the enterprise.,Enterprise Mobility Program Manager,http://microsoft.com,http://i.imgur.com/ywPLGwp.jpg
Peter Friese,"Peter is a developer advocate at Google where he is responsible for Google's relationship with Xamarin. He's the author of the first ever Android Watchface written in C# and an avid collector of smart watches. He likes a good cup of English breakfast tea (milk, no sugar), any time of day.",Developer Advocate,http://google.com,http://i.imgur.com/FKOslOv.jpg
Jonathan Dick,"Jonathan Dick is developer who hails from The Great White North and has been slinging C# for mobile since it was born. A self-proclaimed expert on Push Notifications, Jonathan has published several Xamarin Components, and even helped write a book on Android C# programming. ",,http://xamarin.com,http://i.imgur.com/IrOo2aT.jpg
Martijn van Dijk,"Martijn is a Xamarin consultant at Xablu, Xamarin MVP, contributor of MvvmCross, and creator of several Xamarin plugins.",Xamarin Consultant,http://www.xablu.com,http://i.imgur.com/TInfNTf.jpg
Michael Stonis,"Michael Stonis is a partner at Eight-Bot, a software consultancy in Chicago, where he focuses on mobile and integration solutions for enterprises using .NET. He loves mobile technology and how it has opened up our world in new and interesting ways that seemed like an impossibility just a few years ago. Outside of work, you will probably find him spending time with his family, brewing beer, or playing pinball.",President,http://www.eightbot.com,http://i.imgur.com/vJQw3kW.jpg
Kasey Uhlenhuth,"Kasey Uhlenhuth is a program manager on the .NET Managed Languages team at Microsoft. She is currently working on modernizing the C# developer experience, but has also worked on C# scripting and the REPL. Before joining Microsoft, Kasey studied computer science and played varsity lacrosse at Harvard University. In her free time she can be found creating art, reading, or playing volleyball and ultimate frisbee.","Program Manager, .NET Managed Languages",http://microsoft.com,http://i.imgur.com/N35EeSW.jpg
Jason Smith,"Jason Smith has been enthusiastically working on UI and front-end development for the past decade, touching almost every major UI toolkit in the process (don't worry, his hands are clean). At Xamarin he works on research and development projects. Jason's most recent endeavor at the company has him leading the Xamarin.Forms project to create a true cross-platform UI solution.",Engineering Team Lead (Xamarin.Forms),http://xamarin.com,http://i.imgur.com/JE5DJGV.jpg
Cliff Sentell,"Cliff Sentell is co-founder and Chief Technology Officer for Compass Professional Health Services. A technology innovator, Cliff pioneered the development of the company’s groundbreaking healthcare decision support and pricing transparency platforms. Currently, his focus is on rich, context-aware mobile experiences that humanize healthcare for the 2+ million people who use Compass solutions.",CTO,N/A,http://i.imgur.com/e5LWsn4.jpg
Lori Lalonde,"Lori Lalonde is an author, consultant, blogger, conference speaker, Microsoft MVP, Xamarin MVP & Certified Mobile Developer. She is a proud member of the Western Devs group, and serves as the User Group Leader of CTTDNUG, a .NET User Group in Kitchener, Ontario. You can follow her on Twitter @loriblalonde, check out her blog at solola.ca, and see what she's been up to with the other Western Devs at westerndevs.com.",Senior Consultant,N/A,http://i.imgur.com/mpfSogm.jpg
Paul Betts,"Paul is a developer at Slack who works on the Windows and Linux application. Previously he was at GitHub where he built the GitHub Desktop application on Windows, as well as the popular Xamarin libraries ReactiveUI, ModernHttpClient, and Akavache.",Engineer,http://slack.com,http://i.imgur.com/jrEEQRe.jpg
Josh Clark,"Josh Clark is the founder of Big Medium, a design agency specializing in connected devices, mobile experiences, and responsive web design. His clients include Samsung, Time Inc, TechCrunch, Entertainment Weekly, eBay, O’Reilly Media, and many others. Josh has written several books, including “Designing for Touch” (A Book Apart, 2015) and “Tapworthy: Designing Great iPhone Apps” (O’Reilly, 2010). He speaks around the world about what’s next for digital interfaces.
",Founder,https://bigmedium.com,http://i.imgur.com/zs7zuZl.jpg
Danny Strockis,"Danny Strockis is a PM in the Microsoft identity services division.  His team is responsible for all developer related features of the Microsoft identity platform, including protocol design and SDK development across platforms.  Danny is a recent Xamarin enthusiast (both inside & outside of work) and is excited to share the work that Microsoft has done to support Xamarin developers on the Microsoft Cloud.","Program Manager, Microsoft Identity Developer Platform",http://microsoft.com,http://i.imgur.com/M8qnRPH.jpg
